compound,formula,mz,rt,charge
PC(28:1),C36H70NO8P,676.491187,10.86,1
PS(34:4),C40H70NO10P,756.481017,10.91,1
PS(32:1),C38H72NO10P,734.496667,10.93,1
MG_Na(20:0),C23H45O4Na,409.3288343,11.08,1
MG_NH4(20:0),C23H45O4NH4,404.373439,11.08,1
PS(34:2),C40H74NO10P,760.512317,11.14,1
PC(30:2),C38H72NO8P,702.506837,11.23,1
PS(36:5),C42H72NO10P,782.496667,11.23,1
PC(28:0),C36H72NO8P,678.506837,11.25,1
LPC(24:0),C32H66NO7P,608.464972,11.27,1
PS(40:7),C46H76NO10P,834.527967,11.35,1
PS(42:10),C48H74NO10P,856.512317,11.36,1
PS(32:0),C38H74NO10P,736.512317,11.48,1
PS(38:6),C44H74NO10P,808.512317,11.49,1
PC(30:1),C38H74NO8P,704.522487,11.58,1
PS(34:1),C40H76NO10P,762.527967,11.65,1
PS(36:4),C42H74NO10P,784.512317,11.65,1
PC(36:6),C44H76NO8P,778.538137,11.74,1
PC(42:11),C50H78NO8P,852.553787,11.75,1
PS(38:5),C44H76NO10P,810.527967,11.8,1
PC(32:2),C40H76NO8P,730.538137,11.81,1
PS(36:2),C42H78NO10P,788.543617,11.83,1
PS(42:9),C48H76NO10P,858.527967,11.88,1
PS(40:6),C46H78NO10P,836.543617,11.91,1
PS(44:12),C50H74NO10P,880.512317,11.91,1
PS(44:9),C50H80NO10P,886.559267,11.92,1
Lactosyl ceramide(d18:1/16:0),C46H87NO13,862.625024,11.94,1
PS(38:4),C44H78NO10P,812.543617,11.98,1
SM(d18:1/16:0),C39H79N2O6P,703.574856,12,1
PS(42:8),C48H78NO10P,860.543617,12.1,1
PS(40:5),C46H80NO10P,838.559267,12.11,1
PE(32:2),C37H70NO8P,688.491187,12.12,1
DG_Na(28:2),C31H55O5Na,531.4019993,12.12,1
DG_NH4(28:2),C31H55O5NH4,526.446604,12.12,1
PC(30:0),C38H76NO8P,706.538137,12.17,1
PC(44:12),C52H80NO8P,878.569437,12.17,1
PC(34:3),C42H78NO8P,756.553787,12.18,1
PC(36:5),C44H78NO8P,780.553787,12.18,1
PC(42:10),C50H80NO8P,854.569437,12.21,1
PC(40:8),C48H80NO8P,830.569437,12.23,1
PS(38:3),C44H80NO10P,814.559267,12.23,1
SM(d18:1/18:1),C41H81N2O6P,729.590506,12.23,1
PC(34:4),C42H76NO8P,754.538137,12.3,1
PC(44:11),C52H82NO8P,880.585087,12.37,1
PC(32:1),C40H78NO8P,732.553787,12.38,1
PS(44:11),C50H76NO10P,882.527967,12.4,1
PS(36:1),C42H80NO10P,790.559267,12.42,1
